Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
2,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,Thaicom,Success,1 March 2013,15:10,F9 v1.0B0007.1,Success
3,VAFB,CASSIOPE,500 kg,Polar orbit,NASA,Success,29 September 2013,16:00,F9 v1.1B1003,Success
4,CCAFS,SES-8,"3,170 kg",GTO,Orbcomm,Success,3 December 2013,22:41,,Success
5,CCAFS,Thaicom 6,"3,325 kg",GTO,AsiaSat,Success,6 January 2014,22:06,,Success
6,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,AsiaSat,Success,18 April 2014,19:25,,Success
7,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,NASA,Success,14 July 2014,15:15,,Success
8,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,NASA,Success,5 August 2014,08:00,,Success
9,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,USAF,Success,7 September 2014,05:00,F9 v1.1,Success
10,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,ABS,Success,21 September 2014,05:52,F9 v1.1,Success
11,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,10 January 2015,09:47,F9 v1.1,Success
12,Cape Canaveral,DSCOVR,570 kg,HEO,,Success,11 February 2015,23:03,F9 v1.1,Success
13,Cape Canaveral,ABS-3A,"4,159 kg",GTO,NASA,Failure,2 March 2015,03:50,F9 v1.1,Failure
14,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,Orbcomm,Success,14 April 2015,20:10,F9 v1.1,Success
15,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,NASA,Success,27 April 2015,23:03,F9 v1.1,Success
16,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,SES,Success,28 June 2015,14:21,F9 v1.1,Success
17,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,NASA,Success,22 December 2015,01:29,F9 FT,Success
18,VAFB,Jason-3,553 kg,LEO,SKY Perfect JSAT Group,Success,17 January 2016,18:42,F9 v1.1,Success
19,Cape Canaveral,SES-9,"5,271 kg",GTO,Thaicom,Success,4 March 2016,23:35,F9 FT,Success
20,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,ABS,Success,8 April 2016,20:43,F9 FT,Success
21,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,NASA,Success,6 May 2016,05:21,F9 FT,Success
22,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,SKY Perfect JSAT Group,Success,27 May 2016,21:39,F9 FT,Success
23,Cape Canaveral,ABS-2A,"3,600 kg",GTO,Iridium Communications,Success,15 June 2016,14:29,F9 FT,Success
24,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,Success,18 July 2016,04:45,F9 FT,Success
25,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,EchoStar,Success,14 August 2016,05:26,F9 FT,Success
26,VAFB,Iridium NEXT,"9,600 kg",Polar,SES,Success,14 January 2017,17:54,F9 FT,Success
27,KSC,SpaceX CRS-10,"2,490 kg",LEO,NRO,Success,19 February 2017,14:39,F9 FT,Success
28,KSC,EchoStar 23,"5,600 kg",GTO,Inmarsat,Success,16 March 2017,06:00,F9 FT,Success
29,KSC,SES-10,"5,300 kg",GTO,NASA,Success,30 March 2017,22:27,F9 FT♺,Success
30,KSC,NROL-76,C,LEO,Bulsatcom,Success,1 May 2017,11:15,F9 FT,Success
31,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Iridium Communications,Success,15 May 2017,23:21,F9 FT,Success
32,KSC,SpaceX CRS-11,"2,708 kg",LEO,Intelsat,Success,3 June 2017,21:07,F9 FT,Success
33,KSC,BulgariaSat-1,"3,669 kg",GTO,NASA,Success,23 June 2017,19:10,F9 FTB1029.2,Success
